cleaned_method,target_block,tokens_in_method
"def _set(self, function): <TAB> try: <TAB>  <TAB> self._tokens = function <TAB>  <TAB> self._next = six.next(self._tokens) <TAB> except IOError as exc: <TAB>  <TAB> error = str(exc) <MASK> self.error.set(error.split(""]"")[1].strip()) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> self.error.set(error) <TAB>  <TAB> self._tokens = Tokeniser._off <TAB>  <TAB> self._next = [] <TAB>  <TAB> return self.error.set(""issue setting the configuration parser"") <TAB> except StopIteration: <TAB>  <TAB> self._tokens = Tokeniser._off <TAB>  <TAB> self._next = [] <TAB>  <TAB> return self.error.set(""issue setting the configuration parser, no data"") <TAB> return True","if error . count ( ""]"" ) :",179
"def is_valid(self): <TAB> # Some actions do not require comments. <TAB> action = self.helper.actions.get(self.data.get(""action"")) <TAB> if action: <MASK> self.fields[""comments""].required = False <TAB>  <TAB> if action.get(""versions"", False): <TAB>  <TAB>  <TAB> self.fields[""versions""].required = True <TAB> result = super(ReviewForm, self).is_valid() <TAB> if result: <TAB>  <TAB> self.helper.set_data(self.cleaned_data) <TAB> return result","if not action . get ( ""comments"" , True ) :",136
"def lambda_handler(event, context): <TAB> try: <MASK> print(""Connect to Redshift: %s"" % host) <TAB>  <TAB> conn = pg8000.connect( <TAB>  <TAB>  <TAB> database=database, <TAB>  <TAB>  <TAB> user=user, <TAB>  <TAB>  <TAB> password=password, <TAB>  <TAB>  <TAB> host=host, <TAB>  <TAB>  <TAB> port=port, <TAB>  <TAB>  <TAB> ssl=ssl, <TAB>  <TAB> ) <TAB> except: <TAB>  <TAB> print(""Redshift Connection Failed: exception %s"" % sys.exc_info()[1]) <TAB>  <TAB> return ""Failed"" <TAB> if debug: <TAB>  <TAB> print(""Succesfully Connected Redshift Cluster"") <TAB> # Collect Query Monitoring Rule metrics and Publish to SNS topic <TAB> query_redshift(conn) <TAB> conn.close() <TAB> return ""Finished""",if debug :,184
"def parse(self, source, parser=None): <TAB> close_source = False <TAB> if not hasattr(source, ""read""): <TAB>  <TAB> source = open(source, ""rb"") <TAB>  <TAB> close_source = True <TAB> try: <TAB>  <TAB> if not parser: <TAB>  <TAB>  <TAB> parser = XMLParser(target=TreeBuilder()) <TAB>  <TAB> while 1: <TAB>  <TAB>  <TAB> data = source.read(65536) <TAB>  <TAB>  <TAB> if not data: <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB>  <TAB> parser.feed(data) <TAB>  <TAB> self._root = parser.close() <TAB>  <TAB> return self._root <TAB> finally: <MASK> source.close()",if close_source :,155
"def set_metadata_keywords(self, toc_id, kws): <TAB> with self._lock: <TAB>  <TAB> old_fpath = self._lookup(toc_id) <TAB>  <TAB> new_fpath = old_fpath.rsplit(self.colon, 1)[0] <TAB>  <TAB> flags = """".join(sorted([k[0] for k in kws])) <TAB>  <TAB> if flags: <TAB>  <TAB>  <TAB> new_fpath += ""%s2,%s"" % (self.colon, flags) <MASK> os.rename( <TAB>  <TAB>  <TAB>  <TAB>  <TAB> os.path.join(self._path, old_fpath), <TAB>  <TAB>  <TAB>  <TAB>  <TAB> os.path.join(self._path, new_fpath), <TAB>  <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB>  <TAB> self._toc[toc_id] = new_fpath",if new_fpath != old_fpath :,191
"def check_health(self): <TAB> ""Check the health of the connection with a PING/PONG"" <TAB> if self.health_check_interval and time() > self.next_health_check: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> self.send_command(""PING"", check_health=False) <MASK> raise ConnectionError(""Bad response from PING health check"") <TAB>  <TAB> except (ConnectionError, TimeoutError): <TAB>  <TAB>  <TAB> self.disconnect() <TAB>  <TAB>  <TAB> self.send_command(""PING"", check_health=False) <TAB>  <TAB>  <TAB> if nativestr(self.read_response()) != ""PONG"": <TAB>  <TAB>  <TAB>  <TAB> raise ConnectionError(""Bad response from PING health check"")","if nativestr ( self . read_response ( ) ) != ""PONG"" :",177
"def ValidateStopLongitude(self, problems): <TAB> if self.stop_lon is not None: <TAB>  <TAB> value = self.stop_lon <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> if not isinstance(value, (float, int)): <TAB>  <TAB>  <TAB>  <TAB> self.stop_lon = util.FloatStringToFloat(value, problems) <TAB>  <TAB> except (ValueError, TypeError): <TAB>  <TAB>  <TAB> problems.InvalidValue(""stop_lon"", value) <TAB>  <TAB>  <TAB> del self.stop_lon <TAB>  <TAB> else: <MASK> problems.InvalidValue(""stop_lon"", value)",if self . stop_lon > 180 or self . stop_lon < - 180 :,152
"def get_closest(cls, *locale_codes: str) -> ""Locale"": <TAB> """"""Returns the closest match for the given locale code."""""" <TAB> for code in locale_codes: <TAB>  <TAB> if not code: <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> code = code.replace(""-"", ""_"") <TAB>  <TAB> parts = code.split(""_"") <TAB>  <TAB> if len(parts) > 2: <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> elif len(parts) == 2: <TAB>  <TAB>  <TAB> code = parts[0].lower() + ""_"" + parts[1].upper() <MASK> return cls.get(code) <TAB>  <TAB> if parts[0].lower() in _supported_locales: <TAB>  <TAB>  <TAB> return cls.get(parts[0].lower()) <TAB> return cls.get(_default_locale)",if code in _supported_locales :,184
"def insistent_bucket_delete(conn, bucket_name, keys): <TAB> bucket = conn.lookup(bucket_name) <TAB> if bucket: <TAB>  <TAB> # Delete key names passed by the test code. <TAB>  <TAB> _delete_keys(bucket, keys) <TAB> while True: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> conn.delete_bucket(bucket_name) <TAB>  <TAB> except boto.exception.S3ResponseError as e: <MASK> # Create not yet visible, but it just happened above: <TAB>  <TAB>  <TAB>  <TAB> # keep trying.  Potential consistency. <TAB>  <TAB>  <TAB>  <TAB> continue <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> raise <TAB>  <TAB> break",if e . status == 404 :,161
"def echo(socket, address): <TAB> print(""New connection from %s:%s"" % address) <TAB> socket.sendall(b""Welcome to the echo server! Type quit to exit.\r\n"") <TAB> # using a makefile because we want to use readline() <TAB> rfileobj = socket.makefile(mode=""rb"") <TAB> while True: <TAB>  <TAB> line = rfileobj.readline() <MASK> print(""client disconnected"") <TAB>  <TAB>  <TAB> break <TAB>  <TAB> if line.strip().lower() == b""quit"": <TAB>  <TAB>  <TAB> print(""client quit"") <TAB>  <TAB>  <TAB> break <TAB>  <TAB> socket.sendall(line) <TAB>  <TAB> print(""echoed %r"" % line) <TAB> rfileobj.close()",if not line :,168
"def parse_messages(self, data): <TAB> buf = BytesIO(data) <TAB> msgs = [] <TAB> while buf.tell() < buf.len: <TAB>  <TAB> token = buf.read(1) <MASK> continue <TAB>  <TAB> if token == b""-"": <TAB>  <TAB>  <TAB> raise NotImplementedError(""Resend packet"") <TAB>  <TAB> if token == b""$"": <TAB>  <TAB>  <TAB> packet_data = b"""" <TAB>  <TAB>  <TAB> c = buf.read(1) <TAB>  <TAB>  <TAB> while c != b""#"": <TAB>  <TAB>  <TAB>  <TAB> packet_data += c <TAB>  <TAB>  <TAB>  <TAB> c = buf.read(1) <TAB>  <TAB>  <TAB> checksum = buf.read(2) <TAB>  <TAB>  <TAB> if checksum != self.compute_checksum(packet_data): <TAB>  <TAB>  <TAB>  <TAB> raise ValueError(""Incorrect checksum"") <TAB>  <TAB>  <TAB> msgs.append(packet_data) <TAB> return msgs","if token == b""+"" :",200
"def _cancel_job_by_id(api: CustomObjectsApi, namespace: str, job_id: str): <TAB> try: <TAB>  <TAB> api.delete_namespaced_custom_object( <TAB>  <TAB>  <TAB> **_crd_args(namespace), <TAB>  <TAB>  <TAB> name=_job_id_to_resource_name(job_id), <TAB>  <TAB> ) <TAB> except client.ApiException as e: <MASK> return None <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise",if e . status == 404 :,117
def __next__(self): <TAB> try: <TAB>  <TAB> self.dt = advance_iterator(self.gen) <TAB> except StopIteration: <MASK> heapq.heappop(self.genlist) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> self.genlist.remove(self) <TAB>  <TAB>  <TAB> heapq.heapify(self.genlist),if self . genlist [ 0 ] is self :,94
"def addPoint(self, x, y): <TAB> if self._n > 0: <MASK> pctChange = (y - self._last) / self._last <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> pctChange = 0 <TAB>  <TAB> self._sum_pct_change += pctChange <TAB>  <TAB> self._sum_pct_change_abs += abs(pctChange) <TAB>  <TAB> self._window.append((x, pctChange)) <TAB> self._n += 1 <TAB> self._last = y <TAB> if len(self._window) == self._windowSize: <TAB>  <TAB> self.removePoint(*self._window.popleft())",if self . _last != 0 :,149
"def html_rewriter(self): <TAB> embed_rules = {} <TAB> link_rules = {} <TAB> for rule in self.converter_rules: <TAB>  <TAB> if isinstance(rule, EmbedTypeRule): <TAB>  <TAB>  <TAB> embed_rules[rule.embed_type] = rule.handler.expand_db_attributes <MASK> link_rules[rule.link_type] = rule.handler.expand_db_attributes <TAB> return MultiRuleRewriter([LinkRewriter(link_rules), EmbedRewriter(embed_rules)])","elif isinstance ( rule , LinkTypeRule ) :",124
"def get_entities(f): <TAB> entities = [] <TAB> for line in f: <MASK> continue <TAB>  <TAB> parts = line.split(""\t"")[1].split() <TAB>  <TAB> entity_type = parts[0] <TAB>  <TAB> char_offsets = "" "".join(parts[1:]) <TAB>  <TAB> for start_end in char_offsets.split("";""): <TAB>  <TAB>  <TAB> start, end = start_end.split("" "") <TAB>  <TAB>  <TAB> entities += [Entity((int(start), int(end)), entity_type)] <TAB> return entities","if not line . strip ( ) or line [ 0 ] != ""T"" :",139
"def _return_dbus_error(invocation, data): <TAB> if isinstance(data, DbusError): <TAB>  <TAB> invocation.return_dbus_error(data.name, data.message) <TAB> else: <MASK> et, ev, etb = sys.exc_info() <TAB>  <TAB>  <TAB> if ev is data: <TAB>  <TAB>  <TAB>  <TAB> message = """".join(traceback.format_exception(et, ev, etb)) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> message = """".join(traceback.format_exception_only(data.__class__, data)) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> message = str(data) <TAB>  <TAB> invocation.return_error_literal( <TAB>  <TAB>  <TAB> Gio.dbus_error_quark(), Gio.DBusError.FAILED, message <TAB>  <TAB> )","if isinstance ( data , Exception ) :",191
"def connect_skipped_ops(context): <TAB> nn_spec = context.builder.nn_spec <TAB> for layer in nn_spec.layers: <TAB>  <TAB> for i, inp_name in enumerate(layer.input): <MASK> layer.input[i] = context.skip_map_names[inp_name] <TAB>  <TAB> for i, out_name in enumerate(layer.output): <TAB>  <TAB>  <TAB> if out_name in context.skip_map_names: <TAB>  <TAB>  <TAB>  <TAB> layer.output[i] = context.skip_map_names[out_name]",if inp_name in context . skip_map_names :,148
"def check_splitter(command): <TAB> """"""Check xld or shntool installed"""""" <TAB> try: <TAB>  <TAB> env = os.environ.copy() <TAB>  <TAB> if ""xld"" in command: <TAB>  <TAB>  <TAB> env[""PATH""] += os.pathsep + ""/Applications"" <MASK> command = os.path.join(headphones.CONFIG.CUE_SPLIT_SHNTOOL_PATH, ""shntool"") <TAB>  <TAB> devnull = open(os.devnull) <TAB>  <TAB> subprocess.Popen( <TAB>  <TAB>  <TAB> [command], stdout=devnull, stderr=devnull, env=env <TAB>  <TAB> ).communicate() <TAB> except OSError as e: <TAB>  <TAB> if e.errno == os.errno.ENOENT: <TAB>  <TAB>  <TAB> return False <TAB> return True",elif headphones . CONFIG . CUE_SPLIT_FLAC_PATH :,189
"def apply_env_options(self): <TAB> ""apply options passed through environment variables"" <TAB> env_options = filter(self.is_flower_envvar, os.environ) <TAB> for env_var_name in env_options: <TAB>  <TAB> name = env_var_name.replace(self.ENV_VAR_PREFIX, """", 1).lower() <TAB>  <TAB> value = os.environ[env_var_name] <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> option = options._options[name] <TAB>  <TAB> except KeyError: <TAB>  <TAB>  <TAB> option = options._options[name.replace(""_"", ""-"")] <MASK> value = [option.type(i) for i in value.split("","")] <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> value = option.type(value) <TAB>  <TAB> setattr(options, name, value)",if option . multiple :,190
"def file_reader(file_path: str): <TAB> length = int(os.stat(file_path).st_size) <TAB> offset = 0 <TAB> while offset < length: <TAB>  <TAB> bytes_to_read = min((length - offset), MAX_BLOB_SIZE - 1) <MASK> break <TAB>  <TAB> blob_bytes = await asyncio.get_event_loop().run_in_executor( <TAB>  <TAB>  <TAB> None, read_bytes, file_path, offset, bytes_to_read <TAB>  <TAB> ) <TAB>  <TAB> yield blob_bytes <TAB>  <TAB> offset += bytes_to_read",if not bytes_to_read :,145
"def is_macro_call(form, ctx): <TAB> if rt.seq_QMARK_(form) is true and isinstance(rt.first(form), symbol.Symbol): <TAB>  <TAB> name = rt.name(rt.first(form)) <TAB>  <TAB> if resolve_local(ctx, name): <TAB>  <TAB>  <TAB> return None <TAB>  <TAB> var = resolve_var(ctx, rt.first(form)) <TAB>  <TAB> if var and var.is_defined(): <TAB>  <TAB>  <TAB> val = var.deref() <MASK> return val <TAB> return None","if isinstance ( val , code . BaseCode ) and val . is_macro ( ) :",143
"def read_password(): <TAB> while True: <TAB>  <TAB> first = getpass.getpass(""password: "") <TAB>  <TAB> if len(first) < 8: <TAB>  <TAB>  <TAB> print(""Passwords must be at least eight characters."") <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> second = getpass.getpass("" (again): "") <MASK> print(""Passwords not the same. Try again."") <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> break <TAB> return first",if first != second :,101
"def _unpack_opargs(code): <TAB> extended_arg = 0 <TAB> for i in range(0, len(code), 2): <TAB>  <TAB> op = code[i] <MASK> arg = code[i + 1] | extended_arg <TAB>  <TAB>  <TAB> extended_arg = (arg << 8) if op == EXTENDED_ARG else 0 <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> arg = None <TAB>  <TAB> yield (i, op, arg)",if op >= HAVE_ARGUMENT :,111
"def test_client_path(datasette, prefix, expected_path): <TAB> original_base_url = datasette._settings[""base_url""] <TAB> try: <MASK> datasette._settings[""base_url""] = prefix <TAB>  <TAB> response = await datasette.client.get(""/asgi-scope"") <TAB>  <TAB> path = response.json()[""path""] <TAB>  <TAB> assert path == expected_path <TAB> finally: <TAB>  <TAB> datasette._settings[""base_url""] = original_base_url",if prefix is not None :,122
"def to_dict(self): <TAB> ret = {} <TAB> for attr in self.__slots__: <TAB>  <TAB> value = getattr(self, attr, None) <TAB>  <TAB> if value is None: <TAB>  <TAB>  <TAB> continue <MASK> continue <TAB>  <TAB> ret[attr] = value <TAB> ret[""type""] = int(self.type) <TAB> if self.emoji: <TAB>  <TAB> ret[""emoji""] = self.emoji.to_dict() <TAB> return ret","if isinstance ( value , dict ) and len ( value ) == 0 :",120
"def test_opdm_to_ohdm_mapping(): <TAB> db = opdm_to_ohdm_mapping(6) <TAB> for dbe in db: <TAB>  <TAB> assert isinstance(dbe, DualBasisElement) <TAB>  <TAB> assert set(dbe.primal_tensors_names) == {""ck"", ""kc""} <MASK> assert np.allclose(dbe.primal_coeffs, 0.5) <TAB>  <TAB>  <TAB> assert np.isclose(dbe.dual_scalar, 0.0) <TAB>  <TAB> elif len(dbe.primal_tensors_names) == 2: <TAB>  <TAB>  <TAB> assert np.allclose(dbe.primal_coeffs, 1.0) <TAB>  <TAB>  <TAB> assert np.isclose(dbe.dual_scalar, 1.0)",if len ( dbe . primal_tensors_names ) == 4 :,196
"def replaceDerived(startSite=self): <TAB> if not allDerived: <TAB>  <TAB> return <TAB> for derivedSite in startSite.derivation.chain(): <TAB>  <TAB> for subsite in derivedSite.recurse(streamsOnly=True, includeSelf=True): <MASK> subsite.replace(target, replacement, recurse=recurse, allDerived=False)",if subsite in target . sites :,94
"def decode(self, session_data): <TAB> encoded_data = base64.b64decode(force_bytes(session_data)) <TAB> try: <TAB>  <TAB> # could produce ValueError if there is no ':' <TAB>  <TAB> hash, pickled = encoded_data.split(b"":"", 1) <TAB>  <TAB> expected_hash = self._hash(pickled) <MASK> raise SuspiciousOperation(""Session data corrupted"") <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return pickle.loads(pickled) <TAB> except Exception: <TAB>  <TAB> # ValueError, SuspiciousOperation, unpickling exceptions. If any of <TAB>  <TAB> # these happen, just return an empty dictionary (an empty session). <TAB>  <TAB> return {}","if not constant_time_compare ( hash . decode ( ) , expected_hash ) :",170
"def _change_case(col: str, case_type: str) -> str: <TAB> """"""Change case of a column name."""""" <TAB> case_types = [""preserve"", ""upper"", ""lower"", ""snake""] <TAB> if case_type.lower() not in case_types: <TAB>  <TAB> raise JanitorError(f""case_type must be one of: {case_types}"") <TAB> if case_type.lower() != ""preserve"": <TAB>  <TAB> if case_type.lower() == ""upper"": <TAB>  <TAB>  <TAB> col = col.upper() <TAB>  <TAB> elif case_type.lower() == ""lower"": <TAB>  <TAB>  <TAB> col = col.lower() <MASK> col = _camel2snake(col) <TAB> return col","elif case_type . lower ( ) == ""snake"" :",182
"def eval_sexp_str(sexp_str): <TAB> sr = SexpReader(InputPort(StringIO(sexp_str))) <TAB> while True: <TAB>  <TAB> sexp = sr.get_sexp() <TAB>  <TAB> if sexp is None: <TAB>  <TAB>  <TAB> break <TAB>  <TAB> if sexp is EOF: <TAB>  <TAB>  <TAB> break <TAB>  <TAB> if sexp is COMMENT: <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> py_ast = translator.translate_sexp(tuple_it(sexp)) <MASK> code = compile(py_ast, ""<string>"", ""exec"") <TAB>  <TAB>  <TAB> if code is not None: <TAB>  <TAB>  <TAB>  <TAB> exec(code, global_env)",if py_ast is not None :,163
"def refresh(self): <TAB> """"""Get default value from a boto3 call for free tier instance type."""""" <TAB> if not self.value: <TAB>  <TAB> scheduler = self.pcluster_config.get_section(""cluster"").get_param_value( <TAB>  <TAB>  <TAB> ""scheduler"" <TAB>  <TAB> ) <MASK> self.value = ( <TAB>  <TAB>  <TAB>  <TAB> ""optimal"" if scheduler == ""awsbatch"" else get_default_instance_type() <TAB>  <TAB>  <TAB> )",if scheduler :,111
"def split_row(row): <TAB> new_row_0 = [] <TAB> new_row_1 = [] <TAB> for index, el in enumerate(row): <MASK> new_row_0.append(el) <TAB>  <TAB> elif index in target_columns_1: <TAB>  <TAB>  <TAB> new_row_1.append(el) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> new_row_0.append(el) <TAB>  <TAB>  <TAB> new_row_1.append(el) <TAB> return [new_row_0, new_row_1]",if index in target_columns_0 :,138
"def connector(sender, instance, created, **kw): <TAB> # Only email new announcements in a group. We don't want to email everyone. <TAB> if created and instance.group: <TAB>  <TAB> from kitsune.announcements.tasks import send_group_email <TAB>  <TAB> now = datetime.now() <TAB>  <TAB> if instance.is_visible(): <TAB>  <TAB>  <TAB> send_group_email.delay(instance.pk) <MASK> send_group_email.delay(instance.pk, eta=instance.show_after)",elif now < instance . show_after :,133
"def addon_requirements(ctx): <TAB> """"""Install all addon requirements."""""" <TAB> for directory in os.listdir(settings.ADDON_PATH): <TAB>  <TAB> path = os.path.join(settings.ADDON_PATH, directory) <TAB>  <TAB> requirements_file = os.path.join(path, ""requirements.txt"") <MASK> print(""Installing requirements for {0}"".format(directory)) <TAB>  <TAB>  <TAB> ctx.run( <TAB>  <TAB>  <TAB>  <TAB> pip_install(requirements_file, constraints_file=CONSTRAINTS_PATH), <TAB>  <TAB>  <TAB>  <TAB> echo=True, <TAB>  <TAB>  <TAB> ) <TAB> print(""Finished installing addon requirements"")",if os . path . isdir ( path ) and os . path . isfile ( requirements_file ) :,169
"def _get_command_help(self, commands): <TAB> help_str = """" <TAB> for name, mod in commands.items(): <TAB>  <TAB> mod_help = self._get_help(mod) <MASK> help_str += f""{name}\n"" <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> help_str += f""{name} - {mod_help}\n"" <TAB> return help_str.strip()",if not mod_help :,103
"def stringify(self, token_indices): <TAB> # Used in metric reporter to convert from tokens to string <TAB> res = """" <TAB> if hasattr(self, ""vocab""): <TAB>  <TAB> res = "" "".join([self.vocab._vocab[index] for index in token_indices]) <TAB>  <TAB> if hasattr(self, ""tokenizer""): <MASK> res = self.tokenizer.decode(res) <TAB> return res","if hasattr ( self . tokenizer , ""decode"" ) :",106
